annee,id_eleve,taille_famille,monoparental,pcs_parent,diplome_parent,revenu_mensuel,logement,origine_migratoire,aspiration_famille,implication_parents,opinion_ecole,score_math,score_fr,redoublement,orientation,aspiration_eleve
CP,17,2,0,employe,brevet,2002,appartement,aucune,BAC+3,5,3,209.39828600818745,204.30013278800007,0,general,CAP
CP,18,6,0,cadre,bac+5,659,appartement,aucune,BAC+3,5,3,199.22202227529573,225.93613505136923,0,general,CAP
CP,19,4,0,profession_intermediaire,bac,2928,maison,un_parent,BAC+5,5,5,205.85729050178094,221.4372047718224,0,general,CAP
CP,20,3,1,cadre,brevet,4063,logement_social,aucune,BAC,5,5,253.09992707655513,228.81392267401344,0,general,BAC+3
CP,21,3,0,cadre,bac,3486,maison,aucune,BAC+3,3,5,224.71062741481413,210.3520406877759,0,general,CAP
CP,22,2,0,cadre,bac+5,2177,logement_social,deux_parents,BAC+5,5,4,222.65776909129852,229.6608151302806,0,general,BAC
CP,23,4,0,employe,bac,1513,maison,aucune,BAC+3,5,3,192.14564729602145,213.97031664680276,0,general,CAP
CP,24,5,0,employe,bac+3,2245,maison,aucune,CAP,2,3,205.71556100373706,210.900434030756,0,general,CAP
CP,25,2,0,employe,bac,2843,appartement,aucune,BAC+5,5,2,193.72955235372086,233.43069582724948,0,general,CAP
CP,26,4,0,profession_intermediaire,bac+3,2429,appartement,aucune,CAP,2,1,200.77659449744223,218.79073368828904,0,general,CAP
CP,27,6,0,employe,bac+5,2606,maison,aucune,BAC+5,3,3,206.23426386917941,229.75462301378084,0,general,CAP
CP,28,5,0,employe,bac+3,3188,maison,aucune,BAC,1,5,189.77584233721888,212.36194844596972,0,general,CAP
CP,29,3,0,employe,bac+5,1831,appartement,aucune,BAC,1,4,217.31198349105554,203.06298716335826,0,general,CAP
CP,30,6,0,cadre,bac,2730,appartement,aucune,BAC,1,5,219.23239499249834,236.27806693211616,0,general,BAC
CP,31,2,0,ouvrier,bac+3,2913,appartement,aucune,BAC+5,4,3,181.6100909677378,199.42535165654527,0,general,CAP
CP,32,2,0,cadre,bac+5,3819,maison,aucune,CAP,3,1,227.4648149554249,235.58639562008943,0,general,BAC
CP,33,3,0,cadre,brevet,159,maison,aucune,BAC+5,1,3,205.06778228817728,236.0623964565745,0,general,BAC
CP,34,4,0,cadre,brevet,2179,maison,aucune,BAC+3,2,5,205.11574167000566,246.96157814746428,0,general,BAC
CP,35,5,0,cadre,bac+5,313,maison,aucune,BAC,5,5,218.1763357701131,227.91790002051223,0,general,BAC
CP,36,6,1,ouvrier,bac,2136,appartement,aucune,CAP,1,2,186.74202181778205,220.20384679499486,0,general,CAP
CP,37,6,0,ouvrier,bac,3249,appartement,aucune,CAP,3,5,200.95380173212297,192.36061061857856,1,general,CAP
CP,38,4,0,employe,bac+5,2227,appartement,aucune,CAP,4,4,225.1004958753531,208.15511637195246,0,general,CAP
CP,39,2,0,profession_intermediaire,bac+3,2259,appartement,aucune,BAC+3,4,2,225.86988796397728,234.08952433668645,0,general,BAC
CP,40,3,0,employe,bac+3,3096,appartement,deux_parents,BAC+3,2,1,216.56166146785762,225.9768930743257,0,general,BAC
CP,41,6,0,ouvrier,bac+3,1937,appartement,aucune,BAC+5,2,1,187.48217454593225,224.1489825579206,0,general,CAP
CP,42,6,0,employe,bac,3473,appartement,aucune,BAC+5,5,3,214.40451143855094,215.55398998829895,0,general,CAP
CP,43,5,1,ouvrier,bac+5,3555,maison,aucune,CAP,2,4,199.79770973405897,222.89731256449832,0,general,CAP
CP,44,6,0,employe,bac,2611,appartement,aucune,BAC,5,5,207.07798288960862,218.40324576704356,0,general,CAP
CP,45,3,0,cadre,brevet,2849,maison,aucune,BAC+3,5,2,232.0281914223348,210.73195562155126,0,general,BAC
CP,46,2,0,employe,bac,4110,appartement,deux_parents,CAP,4,4,201.5019073032705,211.41963959323095,0,general,CAP
CP,47,2,1,profession_intermediaire,bac,3001,appartement,un_parent,BAC+5,3,2,211.6323348035317,219.07861018929611,0,general,CAP
CP,48,4,1,profession_intermediaire,brevet,2413,appartement,deux_parents,BAC+5,4,5,218.31960675931822,205.80826213360268,0,general,CAP
CP,49,2,1,ouvrier,bac,2902,appartement,un_parent,BAC+5,4,3,189.8033821456291,204.36150706916655,0,general,CAP
CP,50,6,1,employe,bac,2896,logement_social,deux_parents,BAC+5,1,1,195.86475258236783,215.36726523145106,0,general,CAP
CP,51,2,0,ouvrier,bac+5,1191,maison,aucune,BAC+3,1,3,169.38800435206014,204.62005501838868,0,general,CAP
CP,52,3,0,profession_intermediaire,bac+3,3031,appartement,aucune,CAP,2,1,191.31587796575107,212.73034732679523,0,general,CAP
CP,53,5,0,ouvrier,brevet,3418,logement_social,un_parent,BAC+3,4,3,178.14523166499936,205.14040086523318,1,general,CAP
CP,54,5,0,cadre,brevet,3450,appartement,aucune,BAC+5,1,3,215.1787783292407,202.99902149610085,0,general,CAP
CP,55,4,0,profession_intermediaire,brevet,2598,logement_social,aucune,BAC,5,2,208.0100417015423,220.81779416640612,1,general,CAP
CP,56,2,0,employe,bac+5,2660,logement_social,aucune,BAC,5,4,200.58176185035273,224.0723225131209,0,general,CAP
CP,57,3,1,profession_intermediaire,bac,2437,maison,aucune,BAC+3,4,1,190.1517076704019,215.68322843021969,0,general,CAP
CP,58,2,1,employe,bac+3,2613,appartement,aucune,CAP,5,4,189.16821226493255,208.23200715217214,0,general,CAP
CP,59,3,0,ouvrier,bac+5,3006,logement_social,aucune,BAC,2,2,198.14086023543047,212.68037238656592,0,general,CAP
CP,60,5,0,ouvrier,bac,1414,maison,deux_parents,CAP,3,3,185.86659658489967,212.81517336251548,0,general,CAP
CP,61,6,0,ouvrier,bac,4057,logement_social,aucune,BAC,1,1,207.74447545442396,186.79017929160045,0,general,CAP
CP,62,6,1,ouvrier,bac,2791,maison,aucune,CAP,5,3,204.28715827420208,190.4446891867326,0,general,CAP
CP,63,4,0,cadre,brevet,2728,appartement,aucune,BAC,5,5,221.72926897490976,224.5409577814801,0,general,BAC
CP,64,2,0,ouvrier,bac+5,3122,maison,aucune,BAC+3,4,3,210.31512048168756,199.14417046535684,0,general,CAP
CP,65,5,0,cadre,bac,1214,appartement,aucune,CAP,1,3,221.82241886076645,238.96264204315685,0,general,BAC
CP,66,2,0,cadre,bac+5,2351,maison,deux_parents,BAC+5,4,5,217.05434266097808,231.38888223878473,0,general,BAC
CP,67,2,1,cadre,bac+5,3026,logement_social,aucune,BAC,3,4,227.8665740049534,223.93407389202724,0,general,BAC
CP,68,4,0,employe,bac+5,2425,maison,aucune,BAC,4,2,222.46466871569768,207.9263707283036,1,general,CAP
CP,69,5,1,ouvrier,bac+5,2406,logement_social,aucune,CAP,1,1,200.38964199210102,199.4529736382548,0,general,CAP
CP,70,2,0,employe,brevet,1981,maison,un_parent,BAC,4,2,211.7385797033927,234.3881016349635,0,general,BAC
CP,71,4,0,employe,bac+3,3114,appartement,aucune,BAC,1,3,187.9533710717844,203.5084597520023,0,general,CAP
CP,72,6,1,profession_intermediaire,bac+5,2100,maison,aucune,CAP,4,4,195.01967976279826,220.03097893033382,0,general,CAP
CP,73,4,0,profession_intermediaire,bac+3,2460,appartement,aucune,BAC+3,4,2,219.07389488671217,216.5313743795436,0,general,CAP
CP,74,3,1,ouvrier,bac+5,2536,maison,aucune,BAC+3,1,5,201.163671989606,193.52889301837217,0,general,CAP
CP,75,6,0,employe,bac,752,maison,aucune,CAP,4,2,200.15321101139017,214.8298089686842,0,general,CAP
CP,76,6,0,cadre,bac+5,2661,maison,aucune,BAC+3,5,3,225.0240427667373,233.2374833319094,0,general,BAC
CP,77,4,0,ouvrier,brevet,2366,logement_social,aucune,BAC+3,4,5,193.8026025698462,217.28026742023832,1,general,CAP
CP,78,3,0,ouvrier,bac+3,2316,appartement,aucune,BAC,2,4,176.3984336696598,220.73404291257816,0,general,CAP
CP,79,3,0,ouvrier,bac,1561,appartement,aucune,BAC,1,2,198.61917639063648,181.72321995888126,1,general,CAP
CP,80,3,0,profession_intermediaire,bac+5,2023,appartement,aucune,BAC+5,2,3,195.0653988882396,214.44298449582297,0,general,CAP
CP,81,5,0,employe,bac,829,logement_social,aucune,CAP,5,5,204.88794036790958,218.95275690827754,0,general,CAP
CP,82,3,0,employe,bac+3,2394,maison,un_parent,BAC,3,1,204.26715813720773,218.74617506429524,0,general,CAP
CP,83,3,0,employe,brevet,1497,maison,aucune,CAP,3,1,196.07013397056775,219.75821276016796,1,general,CAP
CP,84,5,1,cadre,bac,1782,logement_social,aucune,BAC,5,3,220.2915723776657,212.85172893993027,0,general,CAP
CP,85,5,0,profession_intermediaire,bac,3736,maison,aucune,BAC+3,1,3,209.74036895325472,217.31619844683294,0,general,CAP
CP,86,2,0,ouvrier,brevet,3180,maison,aucune,BAC+3,3,3,194.50812186617628,195.41329334080257,0,general,CAP
CP,87,4,1,cadre,bac+3,1518,maison,aucune,CAP,2,2,231.27679881805702,213.64446299579018,0,general,BAC
CP,88,4,1,ouvrier,bac+3,2364,appartement,aucune,CAP,5,2,190.04436301763198,179.96317265505482,1,general,CAP
CP,89,2,0,cadre,bac+5,3191,logement_social,aucune,CAP,4,1,232.50390482083333,218.2914473958419,0,general,BAC
CP,90,4,0,profession_intermediaire,bac+5,2578,logement_social,un_parent,CAP,4,1,228.97198679749926,197.515740434337,0,general,CAP
CP,91,6,1,profession_intermediaire,brevet,1355,appartement,aucune,CAP,1,5,194.99477317736685,213.27388464320467,0,general,CAP
CP,92,3,1,profession_intermediaire,bac+3,2616,maison,aucune,CAP,3,5,194.40175391288165,213.7112040612281,0,general,CAP
CP,93,4,1,ouvrier,bac+5,1993,maison,aucune,CAP,5,3,204.80823545253048,190.38166796879312,1,general,CAP
CP,94,3,0,cadre,brevet,1681,appartement,un_parent,BAC+5,1,1,210.74080316924113,219.41149685198127,0,general,CAP
CP,95,6,1,employe,bac+3,1246,maison,aucune,BAC,2,2,209.4547733673197,211.5886114817285,0,general,CAP
CP,96,6,0,employe,bac+3,3005,maison,aucune,CAP,5,5,212.0001982623211,226.85468420170395,0,general,CAP
CP,97,4,0,employe,bac+3,2932,appartement,aucune,CAP,2,1,201.5367209542362,246.54815660625513,0,general,BAC
CP,98,5,0,ouvrier,bac,2669,appartement,deux_parents,BAC+5,2,3,189.9234273082357,204.6604971895927,0,general,CAP
CP,99,5,0,profession_intermediaire,bac+5,1768,maison,aucune,BAC,5,5,200.18588805387768,209.10898828671148,0,general,CAP
CP,100,5,1,employe,bac+5,2711,appartement,aucune,BAC+3,2,5,213.78911497343313,221.02370634319277,0,general,CAP
CP,101,6,0,employe,bac,2778,maison,aucune,BAC,4,3,203.7845975531867,226.1551335279168,0,general,CAP
CP,102,4,1,employe,bac+5,2552,maison,aucune,CAP,5,2,234.70562613058763,204.12199681530754,0,general,CAP
CP,103,2,0,cadre,brevet,3022,maison,deux_parents,BAC+5,2,5,230.5388446855574,204.08218572723777,0,general,CAP
CP,104,3,1,profession_intermediaire,bac+3,1622,maison,un_parent,CAP,1,1,209.2997281923893,226.78874415080722,0,general,CAP
CP,105,2,1,employe,bac,1553,maison,aucune,BAC+3,4,1,202.71165938539497,216.7707250697713,1,general,CAP
CP,106,3,0,employe,bac+3,2810,appartement,aucune,BAC,4,1,209.99107307280525,203.30650173990682,0,general,CAP
CP,107,6,0,profession_intermediaire,bac+3,2394,appartement,aucune,BAC+3,2,4,229.01715311627922,201.36013399754088,0,general,CAP
CP,108,4,1,employe,bac+5,3297,appartement,aucune,BAC+3,1,3,200.82001346784497,201.42544577276996,0,general,CAP
CP,109,5,0,cadre,bac+3,848,maison,un_parent,CAP,4,1,196.92569652815567,222.1331281328463,1,general,CAP
CP,110,5,1,employe,bac+5,3163,appartement,aucune,BAC+3,4,2,217.37568133316012,227.1358183607686,0,general,BAC
CP,111,2,0,ouvrier,bac+3,1952,maison,aucune,BAC+3,4,1,191.35143099818887,217.37139571829496,0,general,CAP
CP,112,5,0,profession_intermediaire,bac+5,2062,logement_social,aucune,BAC,3,1,192.19044733812055,226.97663180970312,0,general,CAP
CP,113,2,1,cadre,bac,2917,maison,aucune,BAC+5,1,1,225.72310986188955,224.16809169753512,0,general,BAC
CP,114,4,0,profession_intermediaire,bac,734,appartement,aucune,BAC,1,5,228.5978770145735,223.22952995251782,0,general,BAC
CP,115,5,0,employe,bac,2407,maison,deux_parents,BAC,4,5,199.52897958367996,219.82711798850787,0,general,CAP
CP,116,4,0,profession_intermediaire,brevet,1978,maison,aucune,BAC+3,1,3,225.54401425084953,213.95932335046385,0,general,CAP
CP,117,6,0,cadre,bac,2332,maison,aucune,BAC+3,4,2,215.60443420888384,220.67800860286036,1,general,CAP
CP,118,5,0,profession_intermediaire,bac+5,2546,appartement,aucune,BAC+5,4,1,222.54840860098057,203.86293650805,1,general,CAP
CP,119,5,1,cadre,bac+5,2533,appartement,aucune,BAC+3,5,3,214.78713683893673,213.04129869162844,0,general,CAP
CP,120,5,1,profession_intermediaire,brevet,2069,maison,aucune,BAC+5,1,2,214.2030913805154,233.5912257251993,0,general,BAC
CP,121,2,0,employe,bac,1208,appartement,aucune,BAC+3,5,5,195.1049820800907,216.08759513230183,1,general,CAP
CP,122,3,0,profession_intermediaire,bac+3,3884,appartement,aucune,BAC+5,3,3,207.97484808271105,208.8595101275719,0,general,CAP
CP,123,4,1,profession_intermediaire,bac,2062,maison,un_parent,BAC+5,4,1,229.99155449705344,203.55926341386484,0,general,CAP
CP,124,5,0,employe,brevet,2098,logement_social,aucune,BAC+5,1,3,207.16043709157793,218.87737532627872,0,general,CAP
CP,125,4,0,cadre,brevet,2733,logement_social,un_parent,BAC+3,2,1,206.26278554934865,242.79031469521115,0,general,BAC
CP,126,2,0,cadre,bac+3,1511,appartement,un_parent,BAC+5,1,3,224.16140231092314,220.86783763626858,0,general,BAC
CP,127,6,0,cadre,brevet,1165,maison,aucune,CAP,1,5,219.86443143000974,240.65349260862,1,general,BAC
CP,128,6,0,cadre,brevet,3853,appartement,aucune,BAC+3,1,5,227.6726442388626,213.80434910510047,0,general,BAC
CP,129,3,0,ouvrier,bac+5,3574,appartement,aucune,BAC+3,5,5,179.83554684674937,201.76419607105976,0,general,CAP
CP,130,4,0,profession_intermediaire,bac,2233,appartement,aucune,BAC,1,2,185.4696248389724,210.84862171229423,0,general,CAP
CP,131,6,0,employe,bac+3,3749,appartement,deux_parents,CAP,2,2,201.25955655436596,224.18161837208024,0,general,CAP
CP,132,2,0,employe,bac+3,2332,appartement,aucune,BAC+3,2,2,192.5433966896175,207.5043043450426,0,general,CAP
CP,133,5,0,cadre,bac+3,3032,logement_social,aucune,BAC+3,3,3,225.27655161132515,208.03232539688474,0,general,CAP
CP,134,3,0,cadre,brevet,2442,maison,un_parent,CAP,5,5,222.8890713536896,229.3108825541188,1,general,BAC
CP,135,5,0,profession_intermediaire,bac,2302,logement_social,un_parent,CAP,5,2,188.40827503446027,216.0215874860339,1,general,CAP
CP,136,6,0,employe,bac+5,2898,maison,aucune,BAC,1,4,209.23946583312227,217.25445413121443,0,general,CAP
CP,137,6,0,ouvrier,bac,2420,logement_social,aucune,BAC+5,1,5,165.18156642258424,179.18903182775884,0,general,CAP
CP,138,6,0,ouvrier,brevet,1695,logement_social,aucune,BAC,3,1,216.72589130268878,189.1183107183821,1,general,CAP
CP,139,6,0,profession_intermediaire,bac,1827,maison,aucune,BAC+5,4,2,213.3586667477201,208.4247630140825,0,general,CAP
CP,140,2,1,ouvrier,bac+5,3334,appartement,un_parent,BAC+5,1,4,191.32511859565554,197.6107719950542,0,general,CAP
CP,141,3,0,employe,brevet,1268,appartement,aucune,CAP,3,1,210.12289471987805,205.92320672352156,0,general,CAP
CP,142,2,0,profession_intermediaire,bac+5,3075,maison,aucune,BAC+5,1,1,217.2594558055979,217.3356162810599,1,general,CAP
CP,143,3,1,ouvrier,bac+3,2505,maison,aucune,BAC+5,5,4,181.41601619580075,199.2347763381772,0,general,CAP
CP,144,6,0,employe,bac+3,3465,maison,aucune,BAC,2,5,214.7736722341703,208.8079822610681,0,general,CAP
CP,145,6,0,cadre,brevet,2502,maison,aucune,BAC+5,3,3,225.28240219190764,227.70440313398367,0,general,BAC
CP,146,2,0,profession_intermediaire,bac+3,1806,maison,aucune,BAC+3,1,1,209.23561485121311,228.18954636902245,0,general,CAP
CP,147,3,1,cadre,bac+3,2312,appartement,aucune,BAC+5,2,3,223.47376379426774,222.00364244828765,0,general,BAC
CP,148,6,0,ouvrier,bac,199,appartement,aucune,CAP,3,3,216.80290327283703,206.37121667804138,0,general,CAP
CP,149,5,0,cadre,bac,1700,appartement,aucune,BAC+3,1,4,216.73757656869415,228.60196235991174,0,general,BAC
CP,150,3,0,profession_intermediaire,bac+5,2683,appartement,un_parent,CAP,5,4,200.96125145542214,194.65457969703718,0,general,CAP
CP,151,3,1,profession_intermediaire,bac,2566,maison,un_parent,BAC+3,2,5,191.44348771143567,195.64471804205996,0,general,CAP
CP,152,4,0,employe,brevet,3048,maison,aucune,BAC+3,2,3,193.07772472912666,208.45154121806132,0,general,CAP
CP,153,2,0,ouvrier,bac,1591,logement_social,aucune,BAC,5,4,179.62024867307704,219.57546825219706,0,general,CAP
CP,154,2,0,employe,bac,2808,maison,aucune,CAP,5,2,214.55682415338438,211.16547934559273,0,general,CAP
CP,155,6,1,profession_intermediaire,bac+5,2894,maison,aucune,BAC+3,2,2,210.4782453840914,211.10313198721306,0,general,CAP
CP,156,6,0,employe,bac+5,2026,logement_social,aucune,CAP,2,1,195.15145256137927,221.28852679278563,0,general,CAP
CP,157,4,0,employe,bac,1152,logement_social,aucune,BAC+3,3,4,215.13205988365203,208.75628706411624,0,general,CAP
CP,158,3,0,profession_intermediaire,bac+3,3225,maison,un_parent,CAP,5,2,211.92745095987146,220.96428888030596,0,general,CAP
CP,159,6,0,profession_intermediaire,bac+5,2334,appartement,aucune,CAP,5,1,219.94919574789824,210.0501988002509,1,general,CAP
CP,160,6,1,cadre,brevet,2605,appartement,un_parent,BAC,4,2,221.04714392849363,243.20302706149272,0,general,BAC
CP,161,4,0,ouvrier,bac+3,2124,maison,aucune,CAP,5,3,198.79392706072193,209.7707380388412,0,general,CAP
CP,162,4,1,profession_intermediaire,bac,1464,appartement,aucune,BAC,1,2,215.0124573296509,220.1376175309351,0,general,CAP
CP,163,2,0,ouvrier,bac,2175,logement_social,aucune,BAC,3,2,212.99262284203112,193.41233347214833,0,general,CAP
CP,164,5,0,ouvrier,bac,3203,maison,un_parent,BAC+3,2,4,185.19903427258066,197.6585422303146,0,general,CAP
CP,165,3,0,cadre,bac,3166,maison,deux_parents,BAC,2,4,233.9942444455331,225.1594061660989,0,general,BAC
CP,166,2,0,profession_intermediaire,bac,3113,maison,aucune,BAC+3,1,2,203.61077618990015,220.18298643273056,0,general,CAP
CP,167,3,0,ouvrier,bac+5,1860,maison,un_parent,BAC+3,2,2,187.359018422219,209.34269979865786,0,general,CAP
CP,168,5,0,ouvrier,bac+5,1145,maison,aucune,BAC,3,2,206.03360814649255,197.66789976473487,0,general,CAP
CP,169,6,0,employe,bac+5,2860,maison,aucune,BAC+3,2,2,179.85838390150664,195.0506572007348,1,general,CAP
CP,170,2,0,employe,brevet,2486,maison,un_parent,BAC,3,4,186.88586440839097,192.74542817737535,0,general,CAP
CP,171,2,0,ouvrier,bac+3,2469,appartement,aucune,BAC+3,1,5,177.3494956113644,197.16305563906457,0,general,CAP
CP,172,2,0,cadre,brevet,2119,appartement,aucune,CAP,5,1,210.64443932244004,229.88817162035122,0,general,BAC
CP,173,6,0,profession_intermediaire,brevet,1145,maison,aucune,BAC+3,4,4,199.44158990596577,211.60633459166385,0,general,CAP
CP,174,4,1,cadre,bac,2881,logement_social,aucune,BAC+5,3,2,216.65178649461726,221.250946333826,0,general,CAP
CP,175,2,0,cadre,bac,1619,maison,aucune,BAC+3,1,3,231.8403355421833,215.38117903263768,0,general,BAC
CP,176,3,0,profession_intermediaire,bac+5,1913,appartement,un_parent,CAP,5,3,188.11151467153428,223.4310835406838,0,general,CAP
CP,177,3,1,ouvrier,bac+3,577,appartement,aucune,BAC+3,1,2,175.11557145081719,218.45849182152836,0,general,CAP
CP,178,2,0,employe,bac+3,4345,appartement,deux_parents,BAC,1,1,218.82245619659093,225.11152852269552,0,general,BAC
CP,179,3,1,cadre,bac+5,2812,maison,aucune,BAC+3,1,3,226.81442791907074,214.6887590590028,0,general,BAC
CP,180,2,0,profession_intermediaire,bac+3,1411,maison,aucune,BAC+3,5,3,200.2006937975022,209.5626968468422,0,general,CAP
CP,181,6,1,employe,bac+3,2585,appartement,aucune,BAC,1,4,193.90194075118052,212.5428239216706,0,general,CAP
CP,182,3,0,profession_intermediaire,bac+5,2014,maison,aucune,BAC+5,5,2,203.78461802600899,208.5778151016187,0,general,CAP
CP,183,4,0,cadre,bac+5,3798,appartement,aucune,BAC,2,4,228.08778214099812,239.60080266278229,0,general,BAC
CP,184,6,1,profession_intermediaire,bac+3,4041,maison,un_parent,BAC+3,3,1,206.60799075710534,205.99662176702924,0,general,CAP
CP,185,5,0,profession_intermediaire,bac,4138,logement_social,aucune,BAC+5,1,1,203.13755718331436,222.8634343035038,0,general,CAP
CP,186,6,1,profession_intermediaire,brevet,2112,maison,aucune,BAC+5,5,1,224.60328936362967,224.03703644378433,0,general,BAC
CP,187,3,0,ouvrier,bac+3,2790,maison,aucune,BAC,3,2,176.0355356342896,206.04396335705854,0,general,CAP
CP,188,2,0,cadre,bac,4029,appartement,aucune,CAP,3,5,211.11393856474928,226.7128641346055,0,general,CAP
CP,189,5,0,cadre,bac+3,2280,appartement,aucune,BAC+3,1,3,217.68764602975543,234.0006605160399,0,general,BAC
CP,190,3,0,ouvrier,brevet,1978,appartement,aucune,CAP,3,4,170.59653396701233,187.73871062018725,0,general,CAP
CP,191,6,0,cadre,bac+5,3297,maison,aucune,BAC+5,1,1,204.28508723026025,217.27163950569155,0,general,CAP
CP,192,2,1,profession_intermediaire,bac,3104,appartement,un_parent,BAC+3,4,5,207.44296814577262,200.3658062072307,0,general,CAP
CP,193,6,0,ouvrier,bac,2790,maison,deux_parents,BAC,4,2,186.76908337018136,208.1426676793165,0,general,CAP
CP,194,2,0,cadre,bac+3,1900,logement_social,aucune,BAC+5,1,2,216.1600518536822,241.19305232352465,0,general,BAC
CP,195,5,0,cadre,bac+3,3431,appartement,aucune,BAC,2,3,215.3572978515041,215.56946682877347,0,general,CAP
CP,196,4,0,ouvrier,brevet,941,maison,aucune,CAP,3,2,212.2093921589092,204.43350563918085,0,general,CAP
CP,197,2,0,profession_intermediaire,bac+3,3515,maison,aucune,BAC+5,3,5,215.82534320670652,209.00083168042286,0,general,CAP
CP,198,2,0,profession_intermediaire,brevet,1558,appartement,un_parent,BAC+5,2,5,200.52422180539946,200.36006679971013,0,general,CAP
CP,199,3,0,profession_intermediaire,bac+5,3573,appartement,aucune,BAC+5,4,2,211.8964864982317,231.70377498310611,0,general,BAC
CP,200,5,0,profession_intermediaire,bac,3477,appartement,aucune,CAP,1,1,183.08141008068392,195.84795166128293,0,general,CAP
CP,201,3,0,employe,bac+3,2378,maison,aucune,BAC+5,2,5,217.54650267152462,210.73525646429724,0,general,CAP
CP,202,2,0,employe,brevet,3387,maison,aucune,CAP,1,2,212.43524013537623,198.44661839298408,0,general,CAP
CP,203,6,0,employe,bac,1914,appartement,un_parent,BAC+5,1,1,196.82195329642252,232.46467154741066,0,general,CAP
CP,204,6,1,ouvrier,bac,4411,appartement,deux_parents,BAC+3,1,3,201.90792343705675,226.40670004048013,0,general,CAP
CP,205,2,1,employe,bac+5,1422,maison,un_parent,BAC+5,4,5,211.61654035870086,232.6100848437215,0,general,BAC
CP,206,2,0,cadre,brevet,3352,maison,un_parent,BAC,2,1,215.84517122200765,217.58744775473994,0,general,CAP
CP,207,6,0,employe,brevet,2511,appartement,aucune,BAC+5,5,2,197.96896145181117,219.6714107244031,0,general,CAP
CP,208,6,0,ouvrier,brevet,3246,appartement,aucune,BAC,2,1,195.18747320720067,196.29080076343206,0,general,CAP
CP,209,3,0,cadre,bac+3,1914,maison,aucune,BAC+3,1,4,234.81459709294714,221.9593442691466,0,general,BAC
CP,210,3,1,cadre,brevet,3241,maison,aucune,BAC+5,4,4,218.54430262417938,222.53858179740445,0,general,BAC
CP,211,6,0,ouvrier,bac+5,2310,maison,aucune,CAP,1,3,199.8201315124236,202.20337094007252,0,general,CAP
CP,212,2,0,cadre,brevet,2558,appartement,aucune,BAC+3,3,3,228.4126447973293,239.23300144413756,0,general,BAC
CP,213,2,1,profession_intermediaire,brevet,2516,appartement,aucune,BAC+3,5,4,215.1635989877279,221.43552745975637,0,general,CAP
CP,214,6,0,profession_intermediaire,bac+3,3300,logement_social,un_parent,CAP,4,4,196.71376413814005,215.50285884801207,0,general,CAP
CP,215,6,0,employe,bac,1060,appartement,un_parent,CAP,1,5,198.70888660840495,212.60047499121524,0,general,CAP
CP,216,5,0,employe,bac,3114,logement_social,aucune,BAC+3,1,2,202.81746055478555,217.50906936351222,0,general,CAP
CP,217,6,1,cadre,bac,1293,maison,un_parent,BAC+3,5,3,222.49500533675644,213.89692084162252,0,general,CAP
CP,218,6,0,profession_intermediaire,bac+3,2685,maison,aucune,BAC+5,2,2,217.34074515879337,211.64649243661285,0,general,CAP
CP,219,5,0,profession_intermediaire,bac+3,2392,maison,aucune,CAP,2,4,195.31359927766263,214.47524113899976,0,general,CAP
